mutant_id,country_of_origin,unique_mutant_ability,mutant_ability_description,age_group,sex,gender_identity,spoken_languages,previous_occupation
1,India,Regeneration,Ability to regrow lost limbs or organs.,18-34,Male,Female,English,Laborer
2,Indonesia,Explosion Manipulation,Creating and controlling explosions.,18-34,Male,Gender Fluid,Indonesian,Truck Driver
3,Cameroon,Technopathy,Controlling and communicating with machines.,35-49,Male,Male,English,Salesperson
4,Nigeria,Shape-shifting,Changing physical form.,18-34,Female,Male,English,Accountant
5,Niger,Gravity Control,Manipulating gravitational forces.,18-34,Female,Female,English,Teacher
6,China,Super Strength,Enhanced physical strength.,18-34,Female,Non-binary,Cantonese,Social Worker
7,China,Vitakinesis,Healing and altering life force.,50-64,Female,Male,Cantonese,Engineer
8,China,Mind Control,Influencing others' actions and thoughts.,18-34,Female,Male,Mandarin,Physical Therapist
9,Niger,Emotion Control,Influencing and controlling emotions.,35-49,Female,Male,English,Electrician
10,Nigeria,Geokinesis,Controlling and manipulating earth/rock.,18-34,Female,Female,Hausa,Office Clerk
11,Myanmar,Power Absorption,Absorbing and using others' powers.,18-34,Female,Female,Burmese,Construction Worker
12,Mexico,Poison Resistance,Immunity to toxins and poisons.,18-34,Female,Female,Spanish,Waiter/Waitress
13,Turkey,Chlorokinesis,Controlling plant life.,50-64,Male,Male,Turkish,Teacher
14,Germany,Elemental Control,"Manipulating elements (fire, water, earth, air).",65+,Male,Female,English,Pilot
15,Tajikistan,Plasma Manipulation,Controlling and creating plasma.,0-17,Female,Female,Russian; Tajik,N/A
16,Portugal,Super Speed,Enhanced speed and reflexes.,35-49,Male,Female,English,Chef
17,India,Pressure Manipulation,Controlling pressure in the environment.,35-49,Female,Female,English,Hairdresser
18,Hungary,Super Strength,Enhanced physical strength.,0-17,Male,Male,Hungarian,N/A
19,China,Atmospheric Manipulation,Controlling the atmosphere.,0-17,Female,Female,English,N/A
20,Pakistan,Regeneration,Ability to regrow lost limbs or organs.,50-64,Female,Female,English,Teacher
